polarity,text
0,@kconsidder You never tweet  
0,Sick today  coding from the couch.
1,"@ChargerJenn Thx for answering so quick,I was afraid I was gonna crash twitter with all the spamming I did 2 RR..sorry bout that "
1,Wii fit says I've lost 10 pounds since last time   
0,@MrKinetik Not a thing!!!  I don't really have a life.....
1,and its pretty cool  I never thought I would ever get to this point...
0,finallly! twitter wouldnt let me in!    x
1,"Just took a shower, i feel so refreshed now "
0,Love the show! You and Jasmine got me watching! Every mtv web exclusive has me worried that u 2 will split  U r a great dancer!
1,I have a story to tell you... its my birthday tomorrow!! yes thats right tomorrow is the 16th....Lauren is a TOOL face... HAPPY EOFYS!!  
1,That came out wrong. I heart @danielradcliffe just as much. 
0,"Just got done with the Fam celebratin Jun bdays, it's sad to see my grandma getting so forgetful, couldn't remember who had bdays n June "
0,dissapointed about missing the VIP chance on NIN in Chicago. 
1,"@i_am_girlfriday aw, i'm sure you were absolutely cute with those bangs "
1,"@Jefner Thanks for the welcome  I hope it does too, it should be fine but I gotta speak on it too "
1,@iamdiddy I'm here for diddy! 
1,Fact #1: Between 70-75% of bottled water comes from the ground; the same source where consumers receive tap water. Not PURE SWISS - 
0,"Going to bed now. not gonna wait longer, if the phone rings, then great, if not i'll just be sleeping. "
1,ohhhhhh im so ready for a relaxing weekend 
1,http://www.flickr.com/people/bugekgek/ Thy new gallery. 
0,is up to no good.  has to leave for camping in 10 hours ! .. and cannot sleep 
0,@SaintBastard dude. I'm a Caps fan at heart. 0 cups. Many a heartbreaking loss. My #2 is the Bruins.. so.. yeah. 
1,happy birthday mother 
1,@Edwin808 there u go u see RE and Bodysnatching go hand  in hand - beautiful spot to be doing either or both actually 
1,@mrsjackbauer7 haha omg it works now... finally! 
0,"About to spend an evening of unadulterated gaming, the wife's in bed early and the controllers are charged! If only I had a gaming buddy "
0,I wanted to go eat with you guys but my mom made me go to Coolidge elementary to clean my old teacher's classroom 
0,@dirty69_4ever my wife and I need 2 get to bed earlier in the eve so she'll be more open to that kind of thing. We NEED our 5hrs of sleep 
1,. @MaryRSnyder Thank you!  I figured you could use the chocolate biscotti after all that shredding!  
0,@chanicedev0nne wtf niecey  r u serious.. dam yo wats happening man? that shit aint right..I dnt get it
0,"xbox live is down for the day   Oh well, gives me a chance to play Chronicles of Riddick or start a new character in Fable 2."
1,@mklaebel welcome to #writechat 
1,@ThatKevinSmith It is not watch cannabis revolution its pretty sweet!! also try bible man on the jesus channel after a few bong hits! 
0,It really sucks that GM is going under  they always gave me really great modeling jobs and I got to drive EVERY car model.  Bummer.
0,My bathroom is burrrrsting with waaaater!!!! 
1,"For three weeks out of the month we get to enjoy God's most precious creation, and on Week 4 the bill arrives...Love it! "
1,I'm still very happy from last night Drew is amazing! 
1,is eating..lunch time 
1,"To go or not to go out in the rain... Tonight to see the Ziggy Marley / 311 concert... Fine, fine, but only because we'll be backstage "
1,@doombox awesome.  Taho was my breakfast today lmao. )
0,is going to do some studying now.. doesn't feel like it!!! 
0,@Juni0rSanch3z lol HATER. I know I have them often. 
0,@luffsophie did u get athletic banquet ticket? Cos I didn't!!!!! 
1,"@Jasperblu willdo...today's a Guinness day, for now, though "
1,@ramielemalubay You're still in the plane right? Have fun in California. 
1,@problogger  I use Digg &amp; StumbleUpon much less since using twitter.  I just prefer to share what I'm reading directly with my friends 
1,@mroth22 Niteynite!! I am going to bed too.  I think I should aim to get more than 4 hours a night if I want to keep my job LOL 
